Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
262964,,,,,,,,Belisha Beacon,,,2018 Feb 16 12:00:00 AM,,,,,,Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
21024,ABBEY ROAD,Kings Cross,WC1N 2AP,os 1111,35/18,,,Lighting Column,500,No,,"530,593","182,370",-0.118912,51.525155,POINT (-0.118912 51.525155),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
21026,ABBEY ROAD,Kings Cross,WC1N 2AP,OS 111112333,35/18,,,Lighting Column,600,No,,"530,623","182,350",-0.118487,51.524968,POINT (-0.118487 51.524968),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240447,ABBEY ROAD,Kilburn,NW8 0AG,O/S PUB,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,983","183,680",-0.184859,51.537974,POINT (-0.184859 51.537974),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240448,ABBEY ROAD,Kilburn,NW8 0HY,OPP HAVENPOOL FLATS,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,948","183,728",-0.185346,51.538413,POINT (-0.185346 51.538413),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240449,ABBEY ROAD,Kilburn,NW8 0BL,O/S 1 TO 12 TONEBOROUGH FLATS,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,921","183,738",-0.185732,51.538509,POINT (-0.185732 51.538509),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240450,ABBEY ROAD,Kilburn,NW8 0SR,S/O NO. 85,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,915","183,760",-0.185811,51.538708,POINT (-0.185811 51.538708),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240451,ABBEY ROAD,Kilburn,NW8 0BL,O/S MARY GREEN,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,893","183,764",-0.186126,51.538749,POINT (-0.186126 51.538749),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240452,ABBEY ROAD,Kilburn,NW8 0SR,J/W LANGTRY WALK,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,886","183,788",-0.186219,51.538966,POINT (-0.186219 51.538966),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240453,ABBEY ROAD,Kilburn,NW8 0AH,O/S NEWTON HOUSE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,864","183,793",-0.186534,51.539016,POINT (-0.186534 51.539016),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240454,ABBEY ROAD,Kilburn,NW8 0SR,S/O NO. 1-22 NEWTON HOUSE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,854","183,816",-0.18667,51.539225,POINT (-0.18667 51.539225),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240455,ABBEY ROAD,Kilburn,NW8 0AH,SOUTH SIDE OF BRIDGE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,840","183,820",-0.18687,51.539264,POINT (-0.18687 51.539264),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240456,ABBEY ROAD,South Hampstead,NW6 4AD,NORTH SIDE OF BRIDGE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,831","183,857",-0.186986,51.539599,POINT (-0.186986 51.539599),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240457,ABBEY ROAD,South Hampstead,NW6 4AD,S/O 129,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,821","183,876",-0.187124,51.539772,POINT (-0.187124 51.539772),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240458,ABBEY ROAD,Kilburn,NW6 4DX,BY BELSIZE ROAD,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,791","183,889",-0.187552,51.539895,POINT (-0.187552 51.539895),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240459,ABBEY ROAD,Kilburn,NW6 4BJ,OPP 1 TO 54 EMMINSTER,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,779","183,912",-0.187716,51.540105,POINT (-0.187716 51.540105),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240460,ABBEY ROAD,Kilburn,NW6 4DX,OPP. NO. 102,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,757","183,912",-0.188033,51.540109,POINT (-0.188033 51.540109),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240461,ABBEY ROAD,Kilburn,NW6 4SN,S/O NO. 102,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,750","183,933",-0.188127,51.5403,POINT (-0.188127 51.5403),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240462,ABBEY ROAD,Kilburn,NW6 4SL,CNR OR ENTRY TO HEALTH CTR,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,726","183,937",-0.188471,51.540341,POINT (-0.188471 51.540341),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240463,ABBEY ROAD,South Hampstead,NW6 4SN,O/S 126,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,714","183,961",-0.188636,51.540559,POINT (-0.188636 51.540559),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240464,ABBEY ROAD,Kilburn,NW6 4DG,S/O 39,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,694","183,960",-0.188924,51.540555,POINT (-0.188924 51.540555),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240465,ABBEY ROAD,South Hampstead,NW6 4SN,O/S CHURCH,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,686","183,982",-0.189032,51.540754,POINT (-0.189032 51.540754),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240466,ABBEY ROAD,Kilburn,NW6 4SJ,OPP. CHURCH,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,658","183,986",-0.189434,51.540796,POINT (-0.189434 51.540796),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240467,ABBEY ROAD,Kilburn,NW6 4SP,S/O NO. 53,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,628","184,009",-0.189858,51.54101,POINT (-0.189858 51.54101),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240468,ABBEY ROAD,South Hampstead,NW6 3NE,S/O 53,35/18,65,Generic LED Lighting,Lighting Column,800,No,1965 Dec 11 12:00:00 AM,"525,609","184,026",-0.190126,51.541167,POINT (-0.190126 51.541167),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
